Country/Region,total_case,ac_recover,ac_active,ac_death,c_recover,c_active,c_death,w_recover,w_active,w_death,Date
Afghanistan,784,43,716,25,0.0548469387755102,0.9132653061224489,0.03188775510204082,8.414559928300122e-05,0.0005074926037914517,0.0001863210535337651,"16 Apr,2020"
Albania,494,251,218,25,0.5080971659919028,0.44129554655870445,0.05060728744939271,0.0004911754748844955,0.00015451590450633586,0.0001863210535337651,"16 Apr,2020"
Algeria,2160,708,1116,336,0.3277777777777778,0.5166666666666667,0.15555555555555556,0.0013854670765666248,0.0007910080249039946,0.002504154959493803,"16 Apr,2020"
Andorra,673,169,471,33,0.2511144130757801,0.6998514115898959,0.04903417533432392,0.0003307117739262141,0.00033383940836001925,0.00024594379066456994,"16 Apr,2020"
Angola,19,5,12,2,0.2631578947368421,0.631578947368421,0.10526315789473684,9.784372009651304e-06,8.505462633376285e-06,1.4905684282701208e-05,"16 Apr,2020"
Antigua and Barbuda,23,3,18,2,0.13043478260869565,0.782608695652174,0.08695652173913043,5.870623205790783e-06,1.2758193950064429e-05,1.4905684282701208e-05,"16 Apr,2020"
Argentina,2443,596,1736,111,0.24396234138354483,0.7106017191977078,0.04543593941874744,0.0011662971435504356,0.001230456927628436,0.000827265477689917,"16 Apr,2020"
Armenia,1111,297,797,17,0.26732673267326734,0.7173717371737174,0.0153015301530153,0.0005811916973732875,0.0005649044765667417,0.00012669831640296027,"16 Apr,2020"
Australia,6440,2186,4191,63,0.33944099378881987,0.650776397515528,0.009782608695652175,0.004277727442619551,0.0029705328247066677,0.00046952905490508807,"16 Apr,2020"
Austria,14336,8098,5845,393,0.5648716517857143,0.40771484375,0.027413504464285716,0.015846768906831253,0.004142869091007032,0.002928966961550787,"16 Apr,2020"
Azerbaijan,1253,404,836,13,0.3224261771747805,0.6671987230646449,0.010375099760574621,0.0007905772583798254,0.0005925472301252146,9.688694783755785e-05,"16 Apr,2020"
Bahamas,49,6,35,8,0.12244897959183673,0.7142857142857143,0.16326530612244897,1.1741246411581565e-05,2.48075993473475e-05,5.9622737130804834e-05,"16 Apr,2020"
Bahrain,1671,663,1001,7,0.39676840215439857,0.5990424895272292,0.004189108318372232,0.001297407728479763,0.0007094973413341385,5.2169894989454226e-05,"16 Apr,2020"
Bangladesh,1231,49,1132,50,0.039805036555645816,0.9195775792038993,0.04061738424045491,9.588684569458279e-05,0.0008023486417484963,0.0003726421070675302,"16 Apr,2020"
Barbados,73,15,53,5,0.2054794520547945,0.726027397260274,0.0684931506849315,2.9353116028953913e-05,3.756579329741193e-05,3.726421070675302e-05,"16 Apr,2020"
Belarus,3728,203,3489,36,0.05445278969957081,0.9358905579399142,0.009656652360515022,0.000397245503591843,0.0024729632606541553,0.00026830231708862174,"16 Apr,2020"
Belgium,33573,7107,22026,4440,0.21168796354213207,0.6560629076936825,0.13224912876418551,0.013907506374518364,0.015611776663562173,0.03309061910759668,"16 Apr,2020"
Belize,18,0,16,2,0.0,0.8888888888888888,0.1111111111111111,0.0,1.1340616844501715e-05,1.4905684282701208e-05,"16 Apr,2020"
Benin,35,18,16,1,0.5142857142857142,0.45714285714285713,0.02857142857142857,3.52237392347447e-05,1.1340616844501715e-05,7.452842141350604e-06,"16 Apr,2020"
Bhutan,5,2,3,0,0.4,0.6,0.0,3.9137488038605215e-06,2.1263656583440714e-06,0.0,"16 Apr,2020"
Bolivia,397,7,362,28,0.017632241813602016,0.9118387909319899,0.07052896725440806,1.3698120813511827e-05,0.0002565814561068513,0.0002086795799578169,"16 Apr,2020"
Bosnia and Herzegovina,1110,253,816,41,0.22792792792792793,0.7351351351351352,0.036936936936936934,0.000495089223688356,0.0005783714590695874,0.00030556652779537474,"16 Apr,2020"
Botswana,13,0,12,1,0.0,0.9230769230769231,0.07692307692307693,0.0,8.505462633376285e-06,7.452842141350604e-06,"16 Apr,2020"
Brazil,28320,14026,12558,1736,0.4952683615819209,0.4434322033898305,0.06129943502824859,0.02744712036147384,0.008900966645828283,0.012938133957384648,"16 Apr,2020"
Brunei,136,108,27,1,0.7941176470588235,0.19852941176470587,0.007352941176470588,0.00021134243540846817,1.9137290925096642e-05,7.452842141350604e-06,"16 Apr,2020"
Bulgaria,747,105,606,36,0.14056224899598393,0.8112449799196787,0.04819277108433735,0.00020547181220267739,0.00042952586298550244,0.00026830231708862174,"16 Apr,2020"
Burkina Faso,542,226,284,32,0.41697416974169743,0.5239852398523985,0.05904059040590406,0.000442253614836239,0.00020129594898990545,0.00023849094852321933,"16 Apr,2020"
Burma,74,2,68,4,0.02702702702702703,0.918918918918919,0.05405405405405406,3.9137488038605215e-06,4.8197621589132284e-05,2.9811368565402417e-05,"16 Apr,2020"
Burundi,5,0,4,1,0.0,0.8,0.2,0.0,2.8351542111254286e-06,7.452842141350604e-06,"16 Apr,2020"
Cabo Verde,56,1,54,1,0.017857142857142856,0.9642857142857143,0.017857142857142856,1.9568744019302608e-06,3.8274581850193284e-05,7.452842141350604e-06,"16 Apr,2020"
Cambodia,122,96,26,0,0.7868852459016393,0.21311475409836064,0.0,0.00018785994258530505,1.8428502372315287e-05,0.0,"16 Apr,2020"
Cameroon,848,165,666,17,0.1945754716981132,0.785377358490566,0.020047169811320754,0.00032288427631849305,0.00047205317615238386,0.00012669831640296027,"16 Apr,2020"
Canada,28208,8966,18236,1006,0.3178530913216109,0.646483267158253,0.03566364152013613,0.01754533588770672,0.012925468048520829,0.0074975591941987075,"16 Apr,2020"
Central African Republic,12,4,8,0,0.3333333333333333,0.6666666666666666,0.0,7.827497607721043e-06,5.670308422250857e-06,0.0,"16 Apr,2020"
Chad,23,2,21,0,0.08695652173913043,0.9130434782608695,0.0,3.9137488038605215e-06,1.48845596084085e-05,0.0,"16 Apr,2020"
Chile,8273,2937,5242,94,0.3550102743865587,0.6336274628308957,0.01136226278254563,0.005747340118469176,0.0037154695936798742,0.0007005671612869568,"16 Apr,2020"
China,83356,78311,1699,3346,0.9394764624022266,0.020382455971975622,0.040141081625797784,0.15324479128956067,0.001204231751175526,0.024937209804959122,"16 Apr,2020"
Colombia,3105,452,2522,131,0.14557165861513688,0.8122383252818035,0.04219001610305958,0.000884507229672478,0.0017875647301145827,0.0009763223205169291,"16 Apr,2020"
Congo (Brazzaville),117,11,101,5,0.09401709401709402,0.8632478632478633,0.042735042735042736,2.152561842123287e-05,7.158764383091708e-05,3.726421070675302e-05,"16 Apr,2020"
Congo (Kinshasa),254,21,212,21,0.08267716535433071,0.8346456692913385,0.08267716535433071,4.109436244053548e-05,0.00015026317318964772,0.0001565096849683627,"16 Apr,2020"
Costa Rica,626,67,555,4,0.10702875399361023,0.8865814696485623,0.006389776357827476,0.00013111058492932748,0.00039337764679365323,2.9811368565402417e-05,"16 Apr,2020"
Cote d'Ivoire,638,114,518,6,0.1786833855799373,0.8119122257053292,0.009404388714733543,0.00022308368182004975,0.000367152470340743,4.4717052848103625e-05,"16 Apr,2020"
Croatia,1741,473,1235,33,0.2716829408385985,0.7093624353819644,0.018954623779437105,0.0009256015921130134,0.0008753538626849761,0.00024594379066456994,"16 Apr,2020"
Cuba,814,151,639,24,0.1855036855036855,0.785012285012285,0.029484029484029485,0.0002954880346914694,0.0004529158852272872,0.0001788682113924145,"16 Apr,2020"
Cyprus,715,65,638,12,0.09090909090909091,0.8923076923076924,0.016783216783216783,0.00012719683612546695,0.00045220709667450585,8.943410569620725e-05,"16 Apr,2020"
Czechia,6216,819,5231,166,0.13175675675675674,0.8415379665379665,0.026705276705276705,0.0016026801351808836,0.0037076729195992795,0.0012371717954642002,"16 Apr,2020"
Denmark,6876,2925,3642,309,0.42539267015706805,0.5296684118673648,0.04493891797556719,0.005723857625646013,0.002581407909229703,0.0023029282216773367,"16 Apr,2020"
Diamond Princess,712,639,61,12,0.8974719101123596,0.08567415730337079,0.016853932584269662,0.0012504427428334367,4.323610171966279e-05,8.943410569620725e-05,"16 Apr,2020"
Djibouti,435,71,362,2,0.1632183908045977,0.832183908045977,0.004597701149425287,0.00013893808253704853,0.0002565814561068513,1.4905684282701208e-05,"16 Apr,2020"
Dominica,16,8,8,0,0.5,0.5,0.0,1.5654995215442086e-05,5.670308422250857e-06,0.0,"16 Apr,2020"
Dominican Republic,3614,208,3217,189,0.05755395683453238,0.8901494189263973,0.052296624239070284,0.00040702987560149425,0.002280172774297626,0.0014085871647152642,"16 Apr,2020"
Ecuador,7858,780,6690,388,0.09926189870195978,0.8513616696360397,0.04937643166200051,0.0015263620335056035,0.00474179541810728,0.0028917027508440344,"16 Apr,2020"
Egypt,2505,589,1733,183,0.23512974051896207,0.691816367265469,0.07305389221556886,0.0011525990227369237,0.001228330561970092,0.0013638701118671606,"16 Apr,2020"
El Salvador,159,30,123,6,0.18867924528301888,0.7735849056603774,0.03773584905660377,5.8706232057907826e-05,8.718099199210694e-05,4.4717052848103625e-05,"16 Apr,2020"
