"Country,Other",total_case,ac_recover,ac_active,ac_critical,ac_death,c_recover,c_active,c_critical,c_death,w_recover,w_active,w_death,Date
Afghanistan,337,15,315,0,7,0.04451038575667656,0.9347181008902077,0.0,0.020771513353115726,5.909676504308154e-05,0.00035027555009941154,0.0001062570205531437,"05 Apr,2020"
Albania,361,104,230,7,20,0.2880886426592798,0.6371191135734072,0.019390581717451522,0.055401662049861494,0.00040973757096536534,0.00026354065197955724,0.00030359148729469627,"05 Apr,2020"
Algeria,1251,90,1031,0,130,0.07194244604316546,0.82414068745004,0.0,0.10391686650679456,0.00035458059025848923,0.0011464574354047407,0.0019733446674155258,"05 Apr,2020"
Andorra,501,26,445,12,18,0.05189620758483034,0.8882235528942116,0.023952095808383235,0.03592814371257485,0.00010243439274134134,0.0005081775441124796,0.0002732323385652266,"05 Apr,2020"
Angola,10,2,6,0,2,0.2,0.6,0.0,0.2,7.879568672410872e-06,6.671915239988791e-06,3.0359148729469626e-05,"05 Apr,2020"
Anguilla,3,0,3,0,0,0.0,1.0,0.0,0.0,0.0,3.3359576199943955e-06,0.0,"05 Apr,2020"
Antigua and Barbuda,15,0,14,1,0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.0,1.6679788099971978e-05,0.0,"05 Apr,2020"
Argentina,1451,279,1043,86,43,0.19228118538938663,0.71881461061337,0.059269469331495524,0.029634734665747762,0.0010991998298013168,0.0012554320509912242,0.000652721697683597,"05 Apr,2020"
Armenia,822,57,728,30,7,0.06934306569343066,0.8856447688564477,0.0364963503649635,0.00851581508515815,0.00022456770716370987,0.0008428852919852506,0.0001062570205531437,"05 Apr,2020"
Aruba,64,1,63,0,0,0.015625,0.984375,0.0,0.0,3.939784336205436e-06,7.00551100198823e-05,0.0,"05 Apr,2020"
Australia,5687,2315,3253,85,34,0.40706875329699316,0.5720063302268331,0.014946368911552665,0.005978547564621066,0.009120600738315585,0.003711808845180431,0.0005161055284009837,"05 Apr,2020"
Austria,11907,2998,8461,244,204,0.2517846644830772,0.7105904090031074,0.02049214747627446,0.017132779037540943,0.011811473439943897,0.009679837027350405,0.0030966331704059017,"05 Apr,2020"
Azerbaijan,584,32,530,17,5,0.0547945205479452,0.9075342465753424,0.02910958904109589,0.008561643835616438,0.00012607309875857395,0.0006082562727123114,7.589787182367407e-05,"05 Apr,2020"
Bahamas,28,0,23,1,4,0.0,0.8214285714285714,0.03571428571428571,0.14285714285714285,0.0,2.6687660959955164e-05,6.071829745893925e-05,"05 Apr,2020"
Bahrain,698,427,264,3,4,0.6117478510028653,0.37822349570200575,0.004297994269340974,0.0057306590257879654,0.0016822879115597211,0.00029690022817950123,6.071829745893925e-05,"05 Apr,2020"
Bangladesh,88,33,45,1,9,0.375,0.5113636363636364,0.011363636363636364,0.10227272727272728,0.0001300128830947794,5.11513501732474e-05,0.0001366161692826133,"05 Apr,2020"
Barbados,52,0,52,0,0,0.0,1.0,0.0,0.0,0.0,5.782326541323619e-05,0.0,"05 Apr,2020"
Belarus,562,53,490,11,8,0.09430604982206406,0.8718861209964412,0.019572953736654804,0.014234875444839857,0.00020880856981888812,0.000557104922539064,0.0001214365949178785,"05 Apr,2020"
Belgium,19691,3751,13232,1261,1447,0.1904931186836626,0.6719821238129094,0.06403940886699508,0.07348534863643288,0.01477813104510659,0.016116011262192927,0.021964844105771274,"05 Apr,2020"
