Name of the Banks,Date,Savings Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit
Name of the Banks,,Savings Deposit,< 1.00 crore,1.00 crore but <25.00 crore,25.00 crore but <50.00 crore,50.00 crore but <100.00 crore,100.00 crore and above,3 months but<6 months,6 months but<1 year,1 year but<2 years,2 years but<3 years,3 years and above
AGRANI,2013-01-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-01-01,7.25,6.0,6.5,6.75,7.0,10.5,12.5,12.5,12.5,12.5,12.825
BDBL,2013-01-01,6.0,5.0,5.25,5.5,6.0,6.5,11.0,11.125,11.5,11.75,12.0
JANATA,2013-01-01,7.0,5.0,5.25,5.5,6.0,6.5,11.0,11.5,12.0,12.5,
RUPALI,2013-01-01,5.0,5.0,5.5,6.0,6.5,7.0,12.0,12.0,12.0,,
SONALI,2013-01-01,6.5,5.0,5.25,5.5,6.0,6.5,12.25,12.5,12.75,13.0,
DFIs,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2013-01-01,6.0,4.0,4.0,4.0,4.0,5.0,11.0,11.25,12.0,11.5,15.0
RAKUB,2013-01-01,6.0,4.0,4.25,4.5,4.75,5.0,10.75,10.875,11.0,11.25,11.25
PCBs,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2013-01-01,6.0,4.0,5.0,6.0,7.0,8.0,12.5,12.5,12.5,12.5,
BANK ASIA,2013-01-01,7.5,4.5,7.5,9.0,9.5,10.0,12.5,12.5,12.5,12.5,11.0
BCBL,2013-01-01,7.25,4.0,4.2,8.0,9.0,10.0,12.5,12.5,12.0,12.0,12.0
BRAC,2013-01-01,-8.5,3.0,7.0,7.75,8.0,8.5,9.5,10.25,10.5,7.5,7.5
DHAKA,2013-01-01,7.0,5.0,5.5,6.0,9.0,10.0,12.25,12.25,12.25,11.75,11.25
DUTCH-BANGLA,2013-01-01,7.25,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,11.0
EBL,2013-01-01,7.5,6.0,7.0,7.5,7.75,10.0,11.5,11.5,11.0,7.75,7.75
IFIC,2013-01-01,5.0,4.0,6.0,6.0,6.0,8.0,12.5,12.5,12.5,,
JAMUNA,2013-01-01,6.5,4.0,4.25,6.0,7.0,9.0,11.25,11.25,11.25,,
MERCANTILE,2013-01-01,6.0,7.0,8.0,9.0,10.0,11.0,12.5,12.5,12.5,9.895,11.145
MUTUAL TRUST,2013-01-01,5.85,5.5,7.0,9.5,9.5,12.0,12.5,12.5,12.5,,
NBL,2013-01-01,6.5,5.0,7.0,8.0,8.5,9.0,12.5,12.375,12.5,12.5,12.5
NCCBL,2013-01-01,6.5,6.0,6.5,7.5,8.0,11.0,12.5,12.5,12.5,11.0,
ONE BANK,2013-01-01,8.025,4.0,6.5,7.0,8.5,10.0,12.5,12.5,12.5,12.5,12.5
PREMIER,2013-01-01,6.0,4.0,4.25,4.5,4.75,5.0,12.5,12.5,12.5,,
PRIME,2013-01-01,5.25,3.0,5.5,9.0,10.0,11.0,12.5,12.5,12.5,12.5,12.5
PUBALI,2013-01-01,4.75,4.5,5.0,8.0,8.5,9.0,12.5,12.5,12.5,12.5,
SOUTHEAST,2013-01-01,6.5,6.0,6.25,6.25,6.5,9.0,12.5,12.5,12.5,,
STANDARD,2013-01-01,5.0,5.0,7.0,12.5,12.5,12.5,12.5,12.5,12.5,12.525,12.5
THE CITY,2013-01-01,7.0,2.5,4.0,4.5,10.5,11.0,12.5,12.5,9.75,11.875,10.870000000000001
TRUST BANK,2013-01-01,6.0,4.0,4.5,5.0,5.5,5.5,12.5,12.5,12.5,12.5,12.5
UCBL,2013-01-01,6.0,4.0,5.0,6.5,7.5,8.0,12.5,12.5,12.5,12.5,12.5
UTTARA,2013-01-01,4.5,4.5,5.0,9.0,9.25,10.5,12.5,12.5,12.5,12.5,
FBs,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2013-01-01,5.0,6.0,7.0,7.0,7.0,7.0,12.5,12.5,12.5,10.0,
CITI N.A.,2013-01-01,4.0,1.5,6.55,7.0,7.2,9.05,9.05,7.0,7.0,5.5,
COMMERCIAL B.,2013-01-01,6.375,3.0,7.0,9.0,10.0,10.0,11.75,12.5,11.95,10.025,10.96
HABIB,2013-01-01,4.75,3.5,3.75,4.0,4.1,4.25,7.25,12.5,12.5,12.5,12.5
HSBC,2013-01-01,5.25,1.25,5.25,7.5,9.0,9.5,6.875,7.125,7.25,7.0,6.875
NBP,2013-01-01,7.0,7.0,8.0,9.0,9.0,9.0,12.5,12.5,12.5,12.5,12.5
SBI,2013-01-01,5.5,6.0,7.0,6.0,6.0,6.0,12.5,12.25,11.0,11.0,11.0
STAN.CHART,2013-01-01,5.0,3.5,3.5,5.0,9.0,10.0,9.5,9.75,9.75,9.375,9.0
WOORI,2013-01-01,6.0,5.0,5.0,5.0,5.0,5.0,11.0,11.25,10.25,10.5,10.5
AGRANI,2013-02-01,4.0,5.0,5.0,5.0,5.0,5.0,11.0,11.5,12.0,12.5,
BASIC,2013-02-01,7.25,6.0,6.5,6.75,7.0,10.5,12.5,12.5,12.5,12.5,12.0
BDBL,2013-02-01,6.0,5.0,5.25,5.5,6.0,6.5,11.0,11.125,11.5,11.75,12.0
